STOP_WAS_INITIATED,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OTHER_PERSON_STOPPED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_BORO_NAME,SUSPECT_ARRESTED_FLAG
2,,1,,2,1,2,1,1,1,1,2,,,2,1,2,2,2,1
2,1,1,,1,1,2,1,1,1,1,2,,,2,1,3,4,2,1
3,1,1,3,5,1,2,1,1,1,1,2,2,,2,1,2,3,2,1
3,,1,23,0,1,2,1,1,1,1,2,,,2,1,2,4,2,1
3,3,1,1,5,1,2,1,1,1,1,,,,2,1,3,2,2,1
3,,2,19,10,1,1,1,1,1,1,2,2,,1,1,3,1,2,1
2,3,2,11,14,1,1,1,1,1,1,2,,,1,1,2,4,2,2
2,,1,,3,1,2,2,1,1,2,2,,2,2,1,3,3,2,2
3,1,1,,6,1,2,1,2,1,1,2,2,,2,1,3,4,4,1
3,1,1,,20,1,2,1,2,2,1,2,2,,2,1,3,3,4,1
3,1,1,,10,1,2,2,1,1,1,2,2,,2,2,2,3,4,1
3,1,1,13,5,1,2,2,1,1,2,2,2,2,2,4,3,4,4,2
3,1,1,23,10,2,1,1,1,1,1,2,,,2,1,2,1,5,1
3,1,1,23,10,2,2,2,1,1,1,2,,2,2,1,2,1,5,2
1,1,5,1,20,1,1,1,1,1,1,2,2,,1,1,2,2,5,2
3,1,1,3,15,1,1,1,1,1,1,2,2,,1,1,2,1,5,1
3,1,2,1,8,2,2,2,2,2,1,2,2,2,2,1,4,1,2,2
3,1,1,,25,1,2,2,1,1,1,2,2,2,2,2,3,3,5,1
3,3,1,1,90,1,2,1,1,,1,2,2,,2,1,2,2,2,1
3,,1,19,5,1,1,2,1,1,1,,2,2,2,4,3,2,3,2
3,,0,1,19,1,2,2,1,1,1,2,2,2,2,4,2,1,3,2
3,3,2,,10,1,2,2,1,2,2,2,2,2,2,1,3,2,1,1
3,1,0,,1,1,2,1,1,1,1,2,,,2,1,3,3,1,1
3,,1,13,12,2,1,1,1,1,1,2,2,,2,3,2,1,1,1
3,,1,13,12,1,1,1,1,1,1,2,2,,2,3,3,1,1,1
2,3,1,11,10,2,1,1,1,1,1,2,,,2,1,1,3,1,1
3,1,1,,10,1,2,1,1,1,1,,,,2,2,2,3,2,1
3,,1,23,10,1,1,1,1,1,1,2,2,,1,3,2,1,4,2
3,,1,,10,1,2,1,1,1,1,,,,2,3,1,4,4,1
3,1,1,13,10,2,1,1,1,1,1,2,,,1,1,3,3,3,2
3,1,1,13,10,2,1,1,1,1,1,2,,,1,1,3,3,3,2
3,,1,1,20,1,2,1,1,1,1,2,2,,2,1,4,3,4,1
2,,1,22,3,1,2,2,2,2,1,2,,,2,3,2,2,1,1
2,,1,,15,1,2,2,1,1,2,2,,2,2,1,2,1,1,2
1,1,1,1,20,1,1,1,1,1,1,2,,,2,1,2,3,2,1
3,1,8,1,8,1,1,2,1,1,2,2,2,2,2,1,3,4,2,2
2,1,1,23,5,1,2,2,1,1,1,2,,,2,1,3,2,2,2
3,,1,19,10,1,1,2,1,1,1,2,2,2,2,1,2,3,3,2
3,1,1,,3,1,2,1,1,1,1,2,,,2,1,1,3,3,1
3,1,1,1,16,1,2,2,1,1,1,2,2,2,2,1,3,3,3,2
3,1,1,23,3,1,2,2,1,,1,2,2,2,2,1,1,4,3,1
3,2,5,23,2,2,2,2,1,1,1,2,2,2,2,1,3,2,3,2
3,1,1,3,28,2,2,1,1,1,1,2,2,,2,2,2,4,3,1
1,,2,26,10,1,1,1,1,,1,2,,,2,1,3,5,3,1
2,1,1,19,10,1,1,1,1,1,1,2,,,2,1,1,2,3,1
2,1,2,25,10,1,1,1,1,1,1,2,2,,1,1,3,4,3,1
3,1,1,19,25,2,1,2,1,1,1,2,,2,2,1,2,2,3,2
3,1,1,19,25,2,1,2,1,1,1,2,,2,2,1,3,2,3,2
3,1,1,19,25,2,1,2,1,1,1,2,,2,2,1,2,2,3,2
3,1,1,19,25,2,1,2,1,1,1,2,,2,2,1,2,2,3,2
3,1,0,,15,1,2,1,1,1,1,2,,,2,1,4,3,3,1
3,1,1,,15,1,2,1,1,1,1,2,2,,2,4,2,2,3,1
1,1,1,19,10,1,1,2,2,2,1,2,2,2,2,1,2,4,3,2
3,1,1,1,40,1,1,1,1,1,1,2,2,,2,1,2,3,3,1
3,1,5,3,10,2,1,1,1,1,1,2,,,2,4,2,1,3,1
3,1,5,3,10,2,1,1,1,1,1,2,,,1,4,2,1,3,1
2,3,1,,2,1,2,2,2,2,1,2,,,2,1,3,4,1,2
2,3,1,11,5,1,1,2,1,,1,2,,2,2,4,2,4,1,2
2,4,1,,1,2,2,2,1,1,2,2,,,2,4,2,1,1,2
1,1,1,5,0,1,1,2,,,1,2,,2,2,1,3,3,1,2
3,1,5,,30,1,2,2,1,,2,2,,,2,1,4,3,1,2
2,,2,,8,2,2,1,2,1,1,2,,,2,1,1,1,1,1
3,1,1,,5,1,2,2,1,1,2,2,2,2,2,1,3,1,2,2
3,,1,1,8,1,2,1,1,1,1,,,,2,1,2,2,2,1
3,1,1,,10,1,2,2,1,1,1,,,,2,3,3,1,2,1
3,,0,1,4,1,1,1,1,1,1,2,2,,2,1,3,3,2,1
3,1,1,1,5,1,1,1,1,1,1,2,,,2,1,3,4,2,2
3,1,1,18,25,2,1,1,1,1,1,2,2,,2,4,3,2,2,1
3,3,1,16,11,1,2,2,1,1,2,2,2,2,2,1,3,3,2,2
3,1,2,1,5,1,2,2,1,1,1,2,2,2,2,1,4,3,2,2
2,,5,,5,1,2,1,1,1,2,2,,,2,3,1,3,2,1
2,1,1,,3,1,2,2,1,1,2,,,,2,4,3,1,2,1
1,3,1,23,2,2,1,2,1,1,1,2,2,2,2,1,3,4,2,2
1,1,1,23,2,2,1,2,1,1,1,2,2,2,2,1,3,4,2,2
3,2,1,23,5,1,1,1,1,1,1,2,2,,2,4,2,1,2,2
3,1,0,26,15,1,2,1,1,1,1,2,2,,2,1,3,1,2,1
3,1,0,16,4,1,1,2,1,1,1,2,2,2,2,1,4,2,2,2
3,1,1,19,4,1,2,2,1,1,1,2,2,2,2,4,2,1,2,2
3,1,1,,5,2,2,1,1,2,2,2,2,,2,1,3,2,2,2
3,1,1,,1,2,2,1,1,1,1,2,2,,2,1,1,2,2,1
1,,0,1,10,1,1,1,1,1,1,2,2,,2,1,3,3,2,1
3,1,1,19,4,1,1,1,1,,1,2,2,,2,1,2,2,2,1
3,,1,26,5,1,1,2,1,,1,2,2,2,2,1,3,1,4,2 
2,,1,14,11,1,2,1,1,,1,2,,,2,4,3,4,4,1
1,2,8,13,11,2,1,1,1,1,1,,2,,2,1,3,2,2,1
1,2,8,13,11,2,1,1,1,1,1,,2,,2,1,3,2,2,1
1,2,8,13,11,2,1,1,,,1,,2,,2,1,3,2,2,1
3,,5,23,9,2,2,1,1,1,1,2,2,,2,1,2,1,3,2
3,1,1,13,10,1,1,1,1,1,1,2,,,1,1,3,3,3,1
3,1,1,13,10,2,1,1,1,1,1,2,,,1,1,3,3,3,2
3,,1,23,7,1,2,1,1,1,1,2,2,,2,1,3,2,2,1
2,1,1,3,30,1,2,1,1,,1,,,,2,4,4,3,3,1
1,1,5,,1,1,2,1,1,1,1,2,2,,2,1,2,4,3,1
3,1,1,,9,1,2,2,1,1,1,2,2,2,2,1,2,3,3,2
1,,1,1,15,1,2,2,1,,1,,,2,2,1,3,1,3,1
2,,1,,1,1,2,1,1,1,1,,,,2,1,3,3,2,1
3,2,2,,19,1,2,2,1,1,1,2,,2,2,1,3,5,3,2
3,1,1,5,5,1,1,1,1,1,1,2,2,,2,1,2,3,1,1
2,1,1,,10,1,2,2,1,1,1,2,,,2,1,3,2,2,1
3,1,0,4,5,2,2,2,1,1,1,2,2,2,2,1,3,4,2,2
2,1,1,,5,2,2,1,2,2,1,2,,,2,1,2,3,1,1
2,,2,8,20,2,2,1,2,2,1,2,,,2,1,3,1,2,1
3,,1,3,10,2,2,1,,,1,,,,2,1,2,2,4,1
2,1,1,,3,1,2,1,1,1,1,2,,,2,3,2,2,1,1
1,1,1,5,35,1,2,2,1,1,1,,,,2,4,1,1,2,1
2,,1,23,3,1,2,1,1,1,1,2,,,2,1,3,3,3,1
3,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,3,2
2,1,1,,1,1,2,2,1,2,1,2,,,2,3,2,2,1,1
3,1,1,13,12,2,1,1,1,1,1,2,2,,1,1,2,4,2,1
3,,1,23,5,1,2,2,1,1,1,2,,,2,1,3,4,2,2
1,1,3,22,15,1,2,1,1,1,1,2,2,,2,4,2,1,1,1
3,1,2,,6,1,2,1,1,1,1,2,2,,2,1,3,4,2,1
3,1,1,1,10,1,2,2,1,1,1,2,2,2,2,4,4,3,4,2
3,1,1,,30,2,2,1,1,1,1,,2,,2,1,3,3,1,1
3,,2,,12,1,2,1,1,1,1,2,,,2,1,3,3,3,1
2,,1,26,5,1,2,2,2,2,1,2,,,2,1,3,2,2,1
3,1,1,,2,1,2,2,1,1,2,2,2,2,2,4,2,4,4,2
2,1,3,,444,1,2,1,1,1,1,2,,,2,4,,5,1,1
3,1,2,23,7,2,1,1,1,1,1,2,,2,2,1,3,3,3,2
2,3,1,,1,1,2,2,1,1,1,2,,2,2,3,2,4,1,2
2,1,1,,10,1,2,2,1,1,1,2,,,2,4,2,3,2,1
3,1,1,23,5,2,2,1,2,2,1,2,,,2,1,3,1,2,1
2,1,15,6,6,2,1,1,1,1,1,2,,,2,1,2,4,2,1
3,,1,23,10,2,2,2,1,1,1,2,2,2,2,4,2,1,1,2
2,,1,,1,1,2,1,2,2,1,2,,,2,1,3,2,1,1
3,1,2,19,11,2,1,1,1,1,1,2,2,,2,1,2,2,2,2
3,1,1,16,7,1,2,2,1,1,1,2,2,2,2,1,3,1,4,2
2,1,30,22,1,2,2,2,1,2,1,2,2,2,2,1,3,2,1,2
3,1,1,1,5,1,1,1,1,1,1,2,,,2,1,3,3,1,1
3,,0,,4,1,2,1,1,1,1,2,,,2,1,4,3,3,1
3,1,1,11,20,2,1,1,1,1,1,2,,,2,1,2,2,2,1
3,1,1,14,9,1,1,1,1,1,1,2,2,,2,4,2,4,3,2
2,1,1,19,15,1,1,2,1,1,1,,,2,2,1,3,4,3,2
3,,1,23,5,2,2,1,1,1,1,2,2,,2,1,3,3,3,2
3,,1,23,5,2,2,2,1,1,1,2,2,2,2,1,3,3,3,2
3,1,1,,5,1,1,1,2,1,1,2,2,,2,1,3,3,3,1
3,1,1,1,20,2,1,2,1,1,1,2,2,2,2,2,3,4,3,2
3,1,1,23,9,1,1,2,1,1,1,2,,2,1,1,3,3,3,2
2,3,4,11,4,2,1,1,1,1,1,2,,,2,1,3,3,3,1
3,1,2,1,5,2,2,2,1,1,2,2,2,,2,4,3,1,3,2
1,1,15,19,5,1,1,1,2,2,1,2,2,,,2,3,1,3,2
2,,1,13,9,2,1,1,1,,1,2,,,2,4,2,3,3,1
1,1,1,19,5,1,2,1,2,2,1,2,,,2,1,3,1,3,2
3,,1,19,12,1,1,2,1,1,1,2,,2,2,1,1,2,3,1
2,1,1,3,12,1,1,1,1,1,1,2,,,2,1,3,3,3,1
3,3,1,23,5,1,1,2,1,1,1,2,2,2,2,1,2,2,3,2
2,,1,3,10,1,1,1,1,,1,2,2,,2,4,3,2,3,2
3,1,1,3,20,1,2,2,1,1,1,,2,,2,1,3,3,3,1
3,,1,16,20,1,2,1,1,,1,2,,,2,1,3,2,3,1
2,3,1,11,15,1,1,1,1,1,1,2,2,,2,3,3,4,3,1
3,,2,23,5,1,2,2,1,,1,2,,2,2,1,3,1,3,2
1,1,1,23,10,1,2,1,1,,1,2,2,,1,2,2,4,3,2
2,,2,13,2,1,1,1,1,1,1,2,,,2,1,2,2,3,1
3,1,25,19,7,2,1,2,1,1,1,,,2,1,1,2,4,3,2
3,,10,1,6,1,2,2,1,1,1,,,2,2,,3,4,3,2
3,1,2,23,30,2,1,2,1,1,1,2,2,2,2,3,3,1,3,2
3,1,2,23,30,2,1,2,1,1,1,2,2,2,2,3,3,1,3,2
1,1,1,5,20,2,2,2,2,2,1,2,,2,2,2,3,2,3,1
1,1,1,15,20,2,2,2,2,2,2,2,,2,2,4,3,2,3,2
3,,0,23,36,2,1,1,1,1,1,2,,,1,4,2,4,3,1
3,,0,23,36,2,1,2,1,1,1,2,,2,2,1,1,4,3,2
3,,1,23,8,1,1,2,1,1,1,2,2,2,1,1,1,5,3,2
3,,2,1,23,1,1,2,1,1,1,2,,2,2,2,4,,3,2
3,,1,,2,1,2,2,1,1,1,2,,,2,1,3,5,3,1
1,2,1,26,35,1,2,1,2,2,1,,,,2,1,3,2,3,1
1,1,5,19,5,1,1,2,2,2,1,2,,,2,1,3,,3,1
1,1,1,16,8,1,1,1,1,1,1,2,,,2,1,3,5,3,1
1,1,3,23,40,1,2,2,2,2,1,,,2,2,1,2,,3,2
1,1,0,5,17,1,1,2,1,1,1,2,,2,2,1,3,5,3,2
3,1,0,5,48,2,1,1,1,1,1,2,,,2,1,4,2,3,1
3,1,0,5,48,2,1,1,1,1,1,2,,,2,1,3,2,3,1
1,1,2,13,1,1,1,1,1,1,1,2,2,,2,1,3,5,3,1
3,1,1,19,1,1,2,2,1,1,1,2,,2,2,1,3,1,3,2
3,1,1,19,18,1,1,1,1,1,1,2,2,,2,1,3,4,3,1
3,1,1,19,4,1,2,1,1,1,1,2,2,,2,1,2,4,3,1
3,1,1,19,8,1,1,1,1,1,1,2,2,,2,4,2,2,3,2
3,,1,5,6,1,1,1,,,1,2,,,1,2,3,3,3,2
3,1,0,19,4,1,1,1,1,1,1,2,2,,2,4,2,2,3,2
1,,0,1,33,2,2,1,1,1,1,2,,,2,1,4,3,3,1
3,2,1,23,20,1,2,1,1,1,1,2,2,,2,1,3,5,3,2
3,,0,,1,1,2,1,2,2,1,2,,,2,1,3,1,3,1
2,,1,,5,2,2,2,2,2,1,2,,,2,1,3,4,3,1
3,1,1,,3,2,2,1,1,1,1,2,2,,2,1,3,3,3,1
3,,1,,3,2,2,1,1,1,1,2,2,,2,4,3,3,3,1
1,1,1,,1,2,2,1,1,1,1,2,,,2,1,2,1,3,1
3,3,1,,5,1,2,1,1,1,1,2,2,,2,1,1,3,3,1
3,1,1,,27,2,2,1,1,1,1,2,,,2,1,3,3,3,1
2,1,3,,5,1,2,2,1,1,2,2,,,2,3,3,2,3,2
3,3,1,,5,1,2,1,1,1,1,2,,,2,4,3,4,3,1
3,,1,,3,1,2,1,1,1,1,2,2,,2,3,3,4,3,1
